B0026	00 08 17.55	-08 49 26.5	 5.99	 1.034	  9.79	  -34.1	   -35.7
B0027	00 08 23.17	+29 05 27.0	 2.07	-0.038	 33.60	  135.7	  -162.9
B0028	00 09 02.34	+18 12 43.3	 5.57	 1.043	 11.17	  140.9	   -25.6
B0029	00 09 10.09	+59 09 00.8	 2.28	 0.380	 59.89	  523.4	  -180.4
B0030	00 09 21.02	-27 59 16.5	 5.42	 0.414	 14.57	   72.6	   -10.0
B0031	00 09 24.54	-45 44 49.2	 3.88	 1.013	 23.28	  122.2	  -180.1
B0032	00 10 02.18	+11 08 44.9	 5.54	-0.064	 10.04	   29.7	     1.6
B0033	00 10 02.27	-82 13 26.4	 5.29	 1.049	 13.45	  -21.7	   -20.4
B0034	00 10 18.85	-05 14 54.7	 5.84	 0.973	 18.18	   35.0	   -29.0
B0035	00 10 19.24	+46 04 20.2	 5.01	 0.405	  3.24	    4.5	     0.2
B0036	00 10 42.75	-12 34 47.3	 5.84	 1.000	 15.35	  149.4	   -38.2
B0037	00 11 15.91	-15 28 02.4	 4.89	 0.487	 52.94	  -84.2	  -269.3
B0038	00 11 34.42	-27 47 59.2	 5.41	 1.346	  5.61	    4.6	    17.1
B0039	00 11 43.89	-35 08 00.2	 5.24	 0.459	 45.85	  169.0	   113.8
B0040	00 12 09.95	-17 56 17.6	 5.29	 1.478	  5.33	   60.5	   -24.7
B0041	00 13 14.15	+15 11 01.0	 2.83	-0.190	  9.79	    4.7	    -8.2
B0042	00 13 19.55	-84 59 38.5	 5.78	 1.710	  4.00	   11.0	    17.4
B0043	00 13 30.94	+41 02 08.6	 5.71	 0.331	 28.57	 -122.8	  -146.9
B0044	00 13 42.22	-26 01 19.8	 5.94	 1.548	  3.22	   37.6	   -78.7
B0045	00 14 27.59	-07 46 49.9	 5.13	 1.601	  5.21	   61.0	     2.4
B0046	00 14 36.11	+20 12 24.1	 4.79	 1.572	 10.01	   90.7	     1.9
B0047	00 14 38.43	-18 55 57.7	 4.44	 1.640	  6.62	  -27.1	   -73.8
B0048	00 14 54.50	-09 34 10.4	 5.77	-0.084	  9.40	   22.6	    -8.4
B0049	00 16 08.79	-31 26 46.8	 5.66	 1.350	  7.64	  117.9	   -27.1
B0050	00 16 57.05	+61 31 59.5	 5.74	 0.898	  5.08	   -6.0	    -3.5
B0051	00 17 05.54	+38 40 54.0	 4.61	 0.059	 12.88	  -50.0	   -17.9
B0052	00 17 09.04	+47 56 50.7	 5.86	-0.079	  3.42	    4.0	    -4.0
B0053	00 18 19.71	+36 47 07.2	 4.51	 0.054	 23.11	  -66.5	   -42.5
B0054	00 18 38.22	+31 31 02.0	 5.88	-0.014	  6.00	   58.1	    -2.9
B0055	00 19 25.68	-08 49 25.8	 3.56	 1.214	 11.26	  -14.4	   -37.8
B0056	00 20 01.91	-64 52 39.4	 4.23	 0.576	116.38	 1707.6	  1165.4
B0057	00 20 24.39	+30 56 08.2	 5.89	-0.098	  5.60	   15.3	    -0.6
B0058	00 20 35.86	+08 11 24.9	 5.38	 1.343	  8.26	   -4.5	     9.6
B0059	00 20 39.04	-69 37 29.7	 5.50	-0.046	 10.65	   -4.0	    -0.6
B0060	00 20 45.54	+32 54 40.4	 5.79	 1.595	  5.05	  -29.4	   -17.3
B0061	00 21 07.23	+37 58 07.3	 5.16	 0.442	 20.42	   58.3	   -39.6
B0062	00 21 28.74	-77 25 36.7	 5.96	 1.397	  4.68	   14.2	    -6.4
B0063	00 21 31.18	-28 58 52.7	 5.18	 1.006	 10.50	   32.8	   -71.5
B0064	00 21 46.23	-20 03 28.8	 5.61	 1.580	  4.21	   62.6	   -12.8
B0065	00 24 15.64	+52 01 11.7	 5.58	-0.110	  2.38	   13.7	    -4.4
B0066	00 24 47.49	+61 49 51.8	 5.38	 0.008	  4.27	   13.7	    -2.5
B0067	00 25 06.39	+53 02 48.4	 5.72	-0.056	  6.17	   25.8	     0.3
B0068	00 25 24.22	+01 56 23.0	 5.77	 0.855	  5.50	  -14.3	   -12.9
B0069	00 25 39.20	-77 15 18.1	 2.82	 0.618	133.78	 2220.1	   324.4
B0070	00 26 12.12	-43 40 47.7	 3.93	 0.175	 42.51	  106.1	    32.8
B0071	00 26 16.87	-42 18 18.4	 2.40	 1.083	 42.14	  232.8	  -353.6
B0072	00 27 14.69	-25 32 49.7	 5.99	 1.022	  4.86	   32.9	   -15.3
B0073	00 27 55.71	-33 00 25.4	 4.86	 1.634	  5.95	  -20.5	   -50.4
B0074	00 28 02.84	+17 53 35.1	 5.01	 1.584	  6.65	  114.9	    20.5
B0075	00 28 13.59	+44 23 40.2	 5.18	 0.043	 12.32	   84.1	   -15.3
B0076	00 28 26.42	-39 54 53.6	 5.42	 1.556	  7.86	  135.9	   -41.4
B0077	00 30 02.35	-03 57 26.3	 5.72	 1.545	  3.82	    8.6	   -14.5
B0078	00 30 07.34	+29 45 06.1	 5.20	 0.271	 17.62	   43.6	   -57.2
B0079	00 30 19.91	+59 58 39.2	 5.94	-0.003	  4.54	   16.3	    -3.9
B0080	00 30 22.67	-23 47 15.8	 5.17	 0.128	 18.08	  -26.9	    14.0
B0081	00 30 25.97	-48 12 52.9	 5.67	 0.367	 22.19	  163.4	   -87.3
B0082	00 31 24.86	-48 48 12.8	 4.76	 0.018	 18.97	  140.7	    19.5
B0083	00 31 25.61	+33 34 54.1	 5.88	 1.133	  6.98	   49.6	   -16.3
B0084	00 31 32.56	-62 57 29.1	 4.36	-0.064	 23.35	   82.5	   -54.4
B0085	00 31 33.36	-62 57 55.6	 4.53	 0.147	 18.95	   88.0	   -45.8
B0086	00 31 41.21	+52 50 22.4	 5.59	 1.163	  8.29	  -55.3	   -13.1
B0087	00 31 46.32	+54 31 20.4	 4.74	-0.098	  9.20	   40.8	   -14.8
B0088	00 32 23.75	+06 57 19.6	 5.69	-0.014	 12.36	   45.9	     3.5
B0089	00 32 35.40	+20 17 40.0	 5.38	 1.069	 12.69	  136.8	   -48.1
B0090	00 32 43.79	-63 01 53.0	 5.07	 0.038	 21.52	   86.2	   -49.9
B0091	00 32 59.99	+62 55 54.4	 4.17	 0.130	  0.79	    4.0	    -2.1
B0092	00 33 10.32	+54 53 42.3	 5.93	 1.037	  8.68	   70.1	   -39.4
B0093	00 33 41.06	-29 33 29.5	 5.55	 1.262	  6.56	  -27.9	   -29.3
B0094	00 34 27.62	-52 22 23.5	 5.57	 0.472	 39.03	  227.8	    38.2
B0095	00 35 14.64	-03 35 33.9	 5.20	 0.567	 47.51	  407.7	   -36.5
B0096	00 35 32.75	-00 30 19.7	 5.94	 0.444	 17.97	  143.4	   -61.9
B0097	00 35 41.13	-48 00 02.4	 5.51	 0.461	 27.61	   47.1	  -101.4
B0098	00 36 08.29	+54 10 06.4	 5.08	-0.098	  6.45	   23.0	    -1.5
B0099	00 36 27.34	+60 19 34.4	 5.78	 0.294	  0.97	    3.0	    -1.1
B0100	00 36 46.47	+44 29 18.6	 5.14	 1.587	  4.97	  -36.7	    31.8
B0101	00 36 47.31	+15 13 54.3	 5.89	-0.146	  3.81	    0.9	   -14.2
B5036	23 57 32.99	-82 10 11.1	 5.72	 1.055	 10.38	  -26.6	   -25.1
B5037	23 57 34.97	-64 17 53.1	 5.00	 0.060	 20.53	   78.9	   -61.1
B5038	23 57 45.55	+25 08 29.3	 4.63	 1.584	  7.54	  -36.1	   -32.2
B5039	23 58 40.41	-03 33 20.9	 4.88	 0.930	 14.58	  -56.5	   -72.3
B5040	23 58 55.72	-52 44 45.4	 5.13	 1.121	 12.70	   57.9	    61.5
B5041	23 59 00.53	+55 45 17.8	 4.88	-0.071	  2.14	    9.3	    -5.1
B5042	23 59 18.60	+06 51 48.9	 4.03	 0.419	 30.78	  148.5	  -112.2
B5043	23 59 27.90	-29 29 06.6	 5.59	 1.599	  3.71	   -7.9	    -6.0
B5044	23 59 29.33	+33 43 26.9	 5.81	 0.539	 34.47	  -59.0	  -105.0
B5045	23 59 54.91	-65 34 37.5	 4.49	-0.075	  8.71	   48.6	   -22.3
